Name,Latitude,Longitude
CALLE 74 CON CARRERA 47 BARRANQUILLA,10.9963343,-74.8070974
CALLE 74 CON CARRERA 48 BARRANQUILLA,10.9969606,-74.8065511
CALLE 74 CON CARRERA 50 BARRANQUILLA,10.998793,-74.805036
CALLE 74 CON CARRERA 52 BARRANQUILLA,10.9992924,-74.8043755
CALLE 74 CON CARRERA 53 BARRANQUILLA,10.9998159,-74.8035836
CALLE 74 CON CARRERA 54 BARRANQUILLA,11.0004595,-74.8027444
CALLE 74 CON CARRERA 58 BARRANQUILLA,11.0027688,-74.7995166
CALLE 75 CON CARRERA 26C7 BARRANQUILLA,10.9793537,-74.8159736
CALLE 75 CON CARRERA 50 BARRANQUILLA,11.000179,-74.806188
CALLE 75 CON CARRERA 52 BARRANQUILLA,11.0007269,-74.8054417
CALLE 75 CON CARRERA 53 BARRANQUILLA,11.0012798,-74.8046848
CALLE 75 CON CARRERA 54 BARRANQUILLA,11.0018994,-74.8038221
CALLE 75 CON CARRERA 58 BARRANQUILLA,11.0042019,-74.8005923
CALLE 76 CON CARRERA 38 BARRANQUILLA,10.9866404,-74.8162356
CALLE 76 CON CARRERA 42 BARRANQUILLA,10.9923109,-74.8136587
CALLE 76 CON CARRERA 42F BARRANQUILLA,10.9936627,-74.8135302
CALLE 76 CON CARRERA 43 BARRANQUILLA,10.9942397,-74.811597
CALLE 76 CON CARRERA 44 BARRANQUILLA,10.9953433,-74.8109259
CALLE 76 CON CARRERA 46 BARRANQUILLA,10.9968087,-74.8100681
CALLE 76 CON CARRERA 47 BARRANQUILLA,10.9974724,-74.8096969
CALLE 76 CON CARRERA 48 BARRANQUILLA,10.9982136,-74.809253
CALLE 76 CON CARRERA 49C BARRANQUILLA,10.9998393,-74.8085037
CALLE 76 CON CARRERA 50 BARRANQUILLA,11.0005,-74.808201
CALLE 76 CON CARRERA 51 BARRANQUILLA,11.001162,-74.807782
CALLE 76 CON CARRERA 51B BARRANQUILLA,11.0017048,-74.8072116
CALLE 76 CON CARRERA 52 BARRANQUILLA,11.0021807,-74.8065252
CALLE 76 CON CARRERA 53 BARRANQUILLA,11.0027291,-74.8057707
CALLE 76 CON CARRERA 54 BARRANQUILLA,11.0032494,-74.8050667
CALLE 76 CON CARRERA 56 BARRANQUILLA,11.0045029,-74.8033079
CALLE 76 CON CARRERA 57 BARRANQUILLA,11.005061,-74.802571
CALLE 76 CON CARRERA 58 BARRANQUILLA,11.0057036,-74.801706
CALLE 76 CON CARRERA 59 BARRANQUILLA,11.0062431,-74.8009011
CALLE 76 CON CARRERA 6 BARRANQUILLA,10.9456934,-74.8216827
CALLE 76 CON CARRERA 60 BARRANQUILLA,11.0067707,-74.8001673
CALLE 76B CON CARRERA 42F BARRANQUILLA,10.9937509,-74.8137955
CALLE 77 CON CARRERA 59 BARRANQUILLA,11.0068867,-74.8016404
CALLE 77 CON CARRERA 60 BARRANQUILLA,11.0081521,-74.8011879
CALLE 79 CON CARRERA 43 BARRANQUILLA,10.9953249,-74.8136578
CALLE 79 CON CARRERA 44 BARRANQUILLA,10.9964759,-74.8129678
CALLE 79 CON CARRERA 46 BARRANQUILLA,10.997987,-74.8120945
CALLE 79 CON CARRERA 47 BARRANQUILLA,10.9986453,-74.8117193
CALLE 79 CON CARRERA 49C BARRANQUILLA,11.0000584,-74.8110692
CALLE 79 CON CARRERA 50 BARRANQUILLA,11.0009055,-74.8104505
CALLE 79 CON CARRERA 51 BARRANQUILLA,11.0018231,-74.8097543
CALLE 79 CON CARRERA 51B BARRANQUILLA,11.0026222,-74.8091471
CALLE 79 CON CARRERA 52 BARRANQUILLA,11.003424,-74.8085522
CALLE 79 CON CARRERA 53 BARRANQUILLA,11.004304,-74.8081282
CALLE 79 CON CARRERA 59B BARRANQUILLA,11.008813,-74.8050155
CALLE 79 CON CARRERA 60 BARRANQUILLA,11.0092328,-74.8046574
CALLE 79A CON CARRERA 38 BARRANQUILLA,10.9871381,-74.818183
CALLE 80 CON CARRERA 42F BARRANQUILLA,10.9943343,-74.8168731
CALLE 80 CON CARRERA 43 BARRANQUILLA,10.9964867,-74.8158477
CALLE 80 CON CARRERA 46 BARRANQUILLA,10.9992163,-74.8142506
CALLE 80 CON CARRERA 49C BARRANQUILLA,11.0010288,-74.8133817
CALLE 80 CON CARRERA 50 BARRANQUILLA,11.0017022,-74.8126246
CALLE 80 CON CARRERA 51 BARRANQUILLA,11.002856,-74.812456
CALLE 80B CON CARRERA 42 BARRANQUILLA,10.989036,-74.8225333
CALLE 82 CON CARRERA 42H BARRANQUILLA,10.996878,-74.8183497
CALLE 82 CON CARRERA 43 BARRANQUILLA,10.9976459,-74.817993
CALLE 82 CON CARRERA 44 BARRANQUILLA,10.9990717,-74.81742
CALLE 82 CON CARRERA 46 BARRANQUILLA,11.0006369,-74.8167568
CALLE 82 CON CARRERA 47 BARRANQUILLA,11.0013593,-74.8164114
CALLE 82 CON CARRERA 49C BARRANQUILLA,11.0020827,-74.8159369
CALLE 82 CON CARRERA 50 BARRANQUILLA,11.0029034,-74.8154409
CALLE 82 CON CARRERA 51 BARRANQUILLA,11.0037485,-74.814866
CALLE 82 CON CARRERA 51B BARRANQUILLA,11.0044963,-74.8143788
CALLE 82 CON CARRERA 52 BARRANQUILLA,11.005283,-74.813897
CALLE 82 CON CARRERA 53 BARRANQUILLA,11.0061612,-74.8133269
CALLE 82 CON CARRERA 55 BARRANQUILLA,11.0070276,-74.8127537
CALLE 82 CON CARRERA 57 BARRANQUILLA,11.0086374,-74.8117652
CALLE 82 CON CARRERA 58 BARRANQUILLA,11.0094152,-74.8114825
CALLE 84 CON CARRERA 43 BARRANQUILLA,10.9984431,-74.820031
CALLE 84 CON CARRERA 44 BARRANQUILLA,11.0000323,-74.81953
CALLE 84 CON CARRERA 46 BARRANQUILLA,11.0016435,-74.8190021
CALLE 84 CON CARRERA 47 BARRANQUILLA,11.0023999,-74.8187255
CALLE 84 CON CARRERA 49C BARRANQUILLA,11.0031341,-74.8183944
CALLE 84 CON CARRERA 50 BARRANQUILLA,11.0040404,-74.8179766
CALLE 84 CON CARRERA 51 BARRANQUILLA,11.0049463,-74.8175542
CALLE 84 CON CARRERA 57 BARRANQUILLA,11.0093433,-74.8132658
CALLE 84 CON CARRERA 58 BARRANQUILLA,11.0099045,-74.812532
CALLE 85 CON CARRERA 43 BARRANQUILLA,10.9991116,-74.8222857
CALLE 85 CON CARRERA 46 BARRANQUILLA,11.0023332,-74.8210462
CALLE 85 CON CARRERA 49C BARRANQUILLA,11.004017,-74.8203225
CALLE 85 CON CARRERA 50 BARRANQUILLA,11.0049151,-74.8198862
CALLE 85 CON CARRERA 51B BARRANQUILLA,11.0066005,-74.8190697
CALLE 85 CON CARRERA 52 BARRANQUILLA,11.0072921,-74.8182891
CALLE 85 CON CARRERA 53 BARRANQUILLA,11.0078847,-74.8171564
CALLE 85 CON CARRERA 58 BARRANQUILLA,11.0108647,-74.8146798
CALLE 85 CON CARRERA 59B BARRANQUILLA,11.0122192,-74.8136675
CALLE 87 CON CARRERA 46 BARRANQUILLA,11.00287,-74.8228939
CALLE 87 CON CARRERA 47 BARRANQUILLA,11.0031539,-74.8227352
CALLE 88 CON CARRERA 46 y 47 BARRANQUILLA,11.003161,-74.82365
CALLE 89 CON CARRERA 53 BARRANQUILLA,11.0106504,-74.8194759
CALLE 90 CON CARRERA 46 BARRANQUILLA,11.0035887,-74.8244554
CALLE 90 CON CARRERA 51B BARRANQUILLA,11.0080018,-74.8222026
CALLE 90 CON CARRERA 53 BARRANQUILLA,11.0110048,-74.8199757
CALLE 93 CON CARRERA 43 BARRANQUILLA,11.0017702,-74.8280803
CALLE 93 CON CARRERA 45B BARRANQUILLA,11.0038108,-74.827226
CALLE 93 CON CARRERA 46 BARRANQUILLA,11.0047043,-74.8269129
CALLE 93 CON CARRERA 51B BARRANQUILLA,11.0094407,-74.8250597
CALLE 94 CON CARRERA 52 BARRANQUILLA,11.0106147,-74.8246308
CALLE 94 CON CARRERA 53 BARRANQUILLA,11.0126678,-74.8233265
CALLE 94 CON CARRERA 57 BARRANQUILLA,11.01501,-74.821192
CALLE 96 CON CARRERA 46 BARRANQUILLA,11.005801,-74.8293086
CALLE 98 CON CARRERA 51B BARRANQUILLA,11.0109886,-74.8286042
CALLE 98 CON CARRERA 52 BARRANQUILLA,11.0120999,-74.8278199
CALLE 98 CON CARRERA 53 BARRANQUILLA,11.0138164,-74.8263404
CALLE 99 CON CARRERA 53 BARRANQUILLA,11.01447,-74.8273638
CALLE 99 CON CARRERA 55 BARRANQUILLA,11.015444,-74.826954
CALLE 99 CON CARRERA 56 BARRANQUILLA,11.0160656,-74.8262897
